Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=3.351, TAw acc= 12.0% | *
| Epoch   2, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=3.069, TAw acc= 18.8% | *
| Epoch   3, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.984, TAw acc= 20.4% | *
| Epoch   4, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.763, TAw acc= 25.4% | *
| Epoch   5, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.722, TAw acc= 25.6% | *
| Epoch   6, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.583, TAw acc= 28.5% | *
| Epoch   7, time= 10.9s | Train: skip eval | Valid: time=  1.0s loss=2.747, TAw acc= 26.4% |
| Epoch   8, time= 10.7s | Train: skip eval | Valid: time=  1.0s loss=2.536, TAw acc= 33.1% | *
| Epoch   9, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.488, TAw acc= 33.3% | *
| Epoch  10, time= 10.9s | Train: skip eval | Valid: time=  1.0s loss=2.674, TAw acc= 29.2% |
| Epoch  11, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.369, TAw acc= 34.6% | *
| Epoch  12, time= 10.8s | Train: skip eval | Valid: time=  0.9s loss=2.033, TAw acc= 42.2% | *
| Epoch  13, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.162, TAw acc= 41.0% |
| Epoch  14, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.053, TAw acc= 41.9% |
| Epoch  15, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.233, TAw acc= 39.5% |
| Epoch  16, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.382, TAw acc= 37.5% |
| Epoch  17, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=1.977, TAw acc= 44.8% | *
| Epoch  18, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=1.921, TAw acc= 48.7% | *
| Epoch  19, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=1.945, TAw acc= 46.6% |
| Epoch  20, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=2.045, TAw acc= 43.1% |
| Epoch  21, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=1.913, TAw acc= 45.9% | *
| Epoch  22, time= 10.9s | Train: skip eval | Valid: time=  1.1s loss=1.826, TAw acc= 47.7% | *
| Epoch  23, time= 10.7s | Train: skip eval | Valid: time=  1.3s loss=1.975, TAw acc= 46.0% |
| Epoch  24, time= 10.8s | Train: skip eval | Valid: time=  1.1s loss=1.692, TAw acc= 51.7% | *
| Epoch  25, time= 10.8s | Train: skip eval | Valid: time=  1.1s loss=1.629, TAw acc= 52.6% | *
| Epoch  26, time= 10.7s | Train: skip eval | Valid: time=  1.1s loss=1.988, TAw acc= 45.7% |
| Epoch  27, time= 10.9s | Train: skip eval | Valid: time=  1.2s loss=1.730, TAw acc= 52.0% |
| Epoch  28, time= 10.9s | Train: skip eval | Valid: time=  1.1s loss=1.708, TAw acc= 50.3% |
| Epoch  29, time= 10.8s | Train: skip eval | Valid: time=  1.2s loss=1.637, TAw acc= 52.9% |
| Epoch  30, time= 11.6s | Train: skip eval | Valid: time=  1.8s loss=1.612, TAw acc= 53.0% | *
| Epoch  31, time= 12.2s | Train: skip eval | Valid: time=  2.0s loss=1.805, TAw acc= 47.4% |
| Epoch  32, time= 12.5s | Train: skip eval | Valid: time=  1.9s loss=1.603, TAw acc= 54.4% | *
| Epoch  33, time= 12.3s | Train: skip eval | Valid: time=  1.6s loss=1.846, TAw acc= 48.5% |
| Epoch  34, time= 12.2s | Train: skip eval | Valid: time=  1.9s loss=1.683, TAw acc= 53.1% |
| Epoch  35, time= 12.0s | Train: skip eval | Valid: time=  2.1s loss=1.587, TAw acc= 54.8% | *
