Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=3.354, TAw acc=  9.9% | *
| Epoch   2, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=3.126, TAw acc= 16.4% | *
| Epoch   3, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=3.041, TAw acc= 19.6% | *
| Epoch   4, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=2.811, TAw acc= 26.1% | *
| Epoch   5, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=2.834, TAw acc= 22.3% |
| Epoch   6, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=2.761, TAw acc= 24.0% | *
| Epoch   7, time=  2.7s | Train: skip eval | Valid: time=  1.0s loss=2.625, TAw acc= 29.0% | *
| Epoch   8, time=  3.3s | Train: skip eval | Valid: time=  0.9s loss=2.787, TAw acc= 22.9% |
| Epoch   9, time=  3.2s | Train: skip eval | Valid: time=  1.1s loss=2.620, TAw acc= 27.8% | *
| Epoch  10, time=  3.5s | Train: skip eval | Valid: time=  1.0s loss=2.458, TAw acc= 32.2% | *
| Epoch  11, time=  3.4s | Train: skip eval | Valid: time=  0.9s loss=2.420, TAw acc= 34.7% | *
| Epoch  12, time=  3.1s | Train: skip eval | Valid: time=  1.1s loss=2.388, TAw acc= 36.8% | *
| Epoch  13, time=  3.2s | Train: skip eval | Valid: time=  1.1s loss=2.429, TAw acc= 35.6% |
| Epoch  14, time=  3.4s | Train: skip eval | Valid: time=  1.1s loss=2.391, TAw acc= 35.8% |
| Epoch  15, time=  3.2s | Train: skip eval | Valid: time=  1.1s loss=2.508, TAw acc= 33.1% |
| Epoch  16, time=  3.4s | Train: skip eval | Valid: time=  1.0s loss=2.206, TAw acc= 42.9% | *
| Epoch  17, time=  3.3s | Train: skip eval | Valid: time=  1.1s loss=2.380, TAw acc= 36.8% |
| Epoch  18, time=  3.4s | Train: skip eval | Valid: time=  1.2s loss=2.410, TAw acc= 36.2% |
| Epoch  19, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=2.326, TAw acc= 39.2% |
